Year,NOC,Squad_Size,Female_Ratio,NOC_Events_Entered,Sport_Diversity,Gold,Silver,Bronze,Total,Lagged_Total_Medals,Global_Unique_Sports,Global_Total_Events,Global_Nations_Count,Global_Actual_Medals_Awarded,Is_Host,Is_Prev_Host,Is_Next_Host,Medal_Share_Won,Event_Participation_Rate
1948,AFG,22,0.0,2,2,0,0,0,0,0.0,26,312.0,59,411,0,0,0,0.0,0.0064102564102564
1956,AFG,12,0.0,1,1,0,0,0,0,0.0,26,342.0,72,469,0,0,0,0.0,0.0029239766081871
1960,AFG,12,0.0,13,2,0,0,0,0,0.0,26,340.0,84,461,0,0,0,0.0,0.038235294117647
1964,AFG,8,0.0,8,1,0,0,0,0,0.0,28,370.0,93,504,0,0,0,0.0,0.0216216216216216
1968,AFG,5,0.0,5,1,0,0,0,0,0.0,27,386.0,112,527,0,0,0,0.0,0.0129533678756476
1972,AFG,8,0.0,8,1,0,0,0,0,0.0,31,439.0,121,600,0,0,0,0.0,0.0182232346241457
1980,AFG,11,0.0,11,2,0,0,0,0,0.0,30,454.0,80,631,0,0,0,0.0,0.0242290748898678
1988,AFG,5,0.0,5,1,0,0,0,0,0.0,34,528.0,159,739,0,0,0,0.0,0.0094696969696969
1996,AFG,2,0.0,2,1,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0033112582781456
2004,AFG,5,0.4,5,4,0,0,0,0,0.0,43,669.0,201,926,0,0,0,0.0,0.007473841554559
2008,AFG,4,0.25,4,2,0,0,1,1,0.0,45,673.0,204,958,0,0,0,0.0010438413361169,0.0059435364041604
2012,AFG,6,0.1666666666666666,6,4,0,0,1,1,1.0,43,670.0,204,960,0,0,0,0.0010416666666666,0.008955223880597
2016,AFG,3,0.3333333333333333,3,2,0,0,0,0,1.0,45,682.0,205,972,0,0,0,0.0,0.0043988269794721
2021,AFG,5,0.2,5,4,0,0,0,0,0.0,53,761.0,205,1080,0,0,0,0.0,0.0065703022339027
2024,AFG,6,0.5,6,4,0,0,0,0,0.0,51,738.0,204,1039,0,0,0,0.0,0.008130081300813
1960,AHO,5,0.0,4,1,0,0,0,0,0.0,26,340.0,84,461,0,0,0,0.0,0.0117647058823529
1964,AHO,4,0.0,4,2,0,0,0,0,0.0,28,370.0,93,504,0,0,0,0.0,0.0108108108108108
1968,AHO,5,0.4,4,2,0,0,0,0,0.0,27,386.0,112,527,0,0,0,0.0,0.0103626943005181
1972,AHO,2,0.0,2,2,0,0,0,0,0.0,31,439.0,121,600,0,0,0,0.0,0.0045558086560364
1976,AHO,4,0.0,4,2,0,0,0,0,0.0,30,444.0,92,613,0,0,0,0.0,0.009009009009009
1984,AHO,8,0.625,10,3,0,0,0,0,0.0,32,492.0,140,688,0,0,0,0.0,0.0203252032520325
1988,AHO,3,0.3333333333333333,4,3,0,1,0,1,0.0,34,528.0,159,739,0,0,0,0.0013531799729364,0.0075757575757575
1992,AHO,4,0.25,4,3,0,0,0,0,1.0,37,573.0,168,815,0,0,0,0.0,0.0069808027923211
1996,AHO,6,0.0,7,5,0,0,0,0,0.0,40,604.0,197,842,0,0,0,0.0,0.0115894039735099
2000,AHO,7,0.1428571428571428,8,6,0,0,0,0,0.0,43,667.0,199,927,0,0,0,0.0,0.0119940029985007
