Year,NOC,Lagged_Squad_Size,Lagged_NOC_Events_Entered,Lagged_Sport_Diversity,Lagged_Global_Total_Events,Lagged_Global_Nations_Count,Lagged_Share_of_Entries,Lagged_Expected_Share,Lagged_RCA_Macro,Lagged_Specialization_Index,Lagged_Total_Medals,Lagged_2_Total_Medals,Lagged_3_Total_Medals,Is_Host,Has_Medal_before,Total,Gold,Silver,Bronze
1936,AFG,,,,,,,,,,,,,0,0,0,0,0,0
1948,AFG,15.0,4.0,2.0,302.0,49.0,0.001941747572815534,0.02040816326530612,0.09514563106796117,2.0,0.0,,,0,0,0,0,0,0
1956,AFG,22.0,2.0,2.0,312.0,59.0,0.0009045680687471732,0.01694915254237288,0.05336951605608322,1.0,0.0,0.0,,0,0,0,0,0,0
1960,AFG,12.0,1.0,1.0,342.0,72.0,0.00046061722708429296,0.013888888888888888,0.033164440350069095,1.0,0.0,0.0,0.0,0,0,0,0,0,0
1964,AFG,12.0,13.0,2.0,340.0,84.0,0.003861003861003861,0.011904761904761904,0.32432432432432434,6.5,0.0,0.0,0.0,0,0,0,0,0,0
1968,AFG,8.0,8.0,1.0,370.0,93.0,0.0024760136180748994,0.010752688172043012,0.23026926648096563,8.0,0.0,0.0,0.0,0,0,0,0,0,0
1972,AFG,5.0,5.0,1.0,386.0,112.0,0.0013572204125950054,0.008928571428571428,0.15200868621064062,5.0,0.0,0.0,0.0,0,0,0,0,0,0
1980,AFG,8.0,8.0,1.0,439.0,121.0,0.001813647698934482,0.008264462809917356,0.2194513715710723,8.0,0.0,0.0,0.0,0,0,0,0,0,0
1988,AFG,11.0,11.0,2.0,454.0,80.0,0.0034450360162856246,0.0125,0.27560288130284993,5.5,0.0,0.0,0.0,0,0,0,0,0,0
1996,AFG,5.0,5.0,1.0,528.0,159.0,0.0008664009703690869,0.006289308176100629,0.1377577542886848,5.0,0.0,0.0,0.0,0,0,0,0,0,0
2004,AFG,2.0,2.0,1.0,604.0,197.0,0.0002952901225454009,0.005076142131979695,0.05817215414144398,2.0,0.0,0.0,0.0,0,0,0,0,0,0
2008,AFG,5.0,5.0,4.0,669.0,201.0,0.0007287567409998542,0.004975124378109453,0.14648010494097072,1.25,0.0,0.0,0.0,0,0,1,0,0,1
2012,AFG,4.0,4.0,2.0,673.0,204.0,0.0005652112477038293,0.004901960784313725,0.11530309453158118,2.0,1.0,0.0,0.0,0,1,1,0,0,1
2016,AFG,6.0,6.0,4.0,670.0,204.0,0.0008577555396711937,0.004901960784313725,0.17498213009292352,1.5,1.0,1.0,0.0,0,1,0,0,0,0
2020,AFG,3.0,3.0,2.0,682.0,205.0,0.0004225947316523454,0.004878048780487805,0.08663191998873081,1.5,0.0,1.0,1.0,0,1,0,0,0,0
2024,AFG,5.0,5.0,4.0,761.0,205.0,0.0007287567409998542,0.004878048780487805,0.1493951319049701,1.25,0.0,0.0,1.0,0,1,0,0,0,0
1952,AHO,,,,,,,,,,,,,0,0,0,0,0,0
